,R2 train,R2 cv,R2 test,Training period start,Training period end,Testing period,N° training samples,N° testing samples
0,0.996388810177862,0.8040897837225308,0.6938683256416385,2000Q1,2001Q4,2002Q1,64,16
1,0.9986326318582898,0.9805358386560629,0.6143524924068435,2000Q2,2002Q1,2002Q2,95,20
2,0.9935454864323116,0.758582289768236,0.8604432538649627,2000Q3,2002Q2,2002Q3,135,19
3,0.9800037124371864,0.9019633125638472,0.17469418824968863,2000Q4,2002Q3,2002Q4,172,20
4,0.9967010238749581,0.9385336440637505,-0.04241256901408774,2001Q1,2002Q4,2003Q1,212,43
5,0.9998501415743186,0.489981078858829,0.008667952123998734,2001Q2,2003Q1,2003Q2,298,51
6,0.9901016853545063,0.8979206441861598,0.21954207906969692,2001Q3,2003Q2,2003Q3,382,51
7,0.8936658256829935,0.07100565651214685,-1.6712201242596532,2001Q4,2003Q3,2003Q4,461,49
8,0.8779777760109236,0.8132817537643418,0.08046985338422397,2002Q1,2003Q4,2004Q1,534,56
9,0.7261010496274024,0.5297560183905803,0.03747693508353167,2002Q2,2004Q1,2004Q2,615,61
10,0.9410867970929317,0.4503030857215383,-2.9119257455344996,2002Q3,2004Q2,2004Q3,697,63
11,0.9999999958994302,0.909735568948002,0.13195158240507798,2002Q4,2004Q3,2004Q4,785,58
12,0.43314582282338343,0.2115389829220775,-3.8015482995796654,2003Q1,2004Q4,2005Q1,860,78
13,0.43116297361219447,0.9773976593595721,-14.151651362423037,2003Q2,2005Q1,2005Q2,929,84
14,0.9999832041479131,0.9372766216624228,-986.3366944981157,2003Q3,2005Q2,2005Q3,994,85
15,0.5660521572933779,0.3364788311789937,-1.2253128649386578,2003Q4,2005Q3,2005Q4,1062,83
16,0.9993503220061457,0.7724860766866095,0.2739372392150248,2004Q1,2005Q4,2006Q1,1130,110
17,0.9999469579011271,0.047223333121320654,0.8726905844243306,2004Q2,2006Q1,2006Q2,1238,114
18,0.9986860311862499,0.805725592326757,0.09930424282270034,2004Q3,2006Q2,2006Q3,1344,116
