,R2 train,R2 cv,R2 test,Training period start,Training period end,Testing period,N° training samples,N° testing samples
0,0.9999855762111369,0.9558495828449791,0.9123051054438722,2000Q1,2001Q4,2002Q1,64,16
1,0.988052781341246,0.9634048826391551,0.9543802000172549,2000Q2,2002Q1,2002Q2,95,20
2,0.996838966611151,0.9865672798587813,0.9128874530613135,2000Q3,2002Q2,2002Q3,135,19
3,0.996738970599819,0.9333086493062228,0.8780083912801098,2000Q4,2002Q3,2002Q4,172,20
4,0.9988587357785252,0.9254266876057977,0.953565774176382,2001Q1,2002Q4,2003Q1,212,43
5,0.9984148106365922,0.9416398477764226,0.9723561522920484,2001Q2,2003Q1,2003Q2,298,51
6,0.9859516856764774,0.9399402306612938,0.942962044616601,2001Q3,2003Q2,2003Q3,382,51
7,0.9929234712294097,0.966052805898621,0.9512201350464813,2001Q4,2003Q3,2003Q4,461,49
8,0.9921431295679203,0.9740465549839673,0.9631627574042516,2002Q1,2003Q4,2004Q1,534,56
9,0.9886721661337188,0.9759391376817133,0.9580614200067975,2002Q2,2004Q1,2004Q2,615,61
10,0.9867055451844073,0.9516717066042053,0.9416301910123858,2002Q3,2004Q2,2004Q3,697,63
11,0.9839046211880682,0.9446229912267408,0.9542938472572868,2002Q4,2004Q3,2004Q4,785,58
12,0.9886156771485455,0.9253702240561826,0.9455897986325611,2003Q1,2004Q4,2005Q1,860,78
13,0.9923108725121327,0.9561320925141448,0.9626446597694581,2003Q2,2005Q1,2005Q2,929,84
14,0.9836539083570768,0.8797587832537641,0.9509092766260571,2003Q3,2005Q2,2005Q3,994,85
15,0.9932468191180628,0.9236015781454224,0.9454004826070097,2003Q4,2005Q3,2005Q4,1062,83
16,0.9751423936410019,0.9341484343571009,0.9189175609732676,2004Q1,2005Q4,2006Q1,1130,110
17,0.9757845087798261,0.908402778148151,0.9547457834896415,2004Q2,2006Q1,2006Q2,1238,114
18,0.9818157684427473,0.9542502172883083,0.930105939066773,2004Q3,2006Q2,2006Q3,1344,116
19,0.9919008831989088,0.8752910990783902,0.8631285047332538,2004Q4,2006Q3,2006Q4,1450,110
20,0.9664885179113046,0.9516396958986175,0.9350126999973107,2005Q1,2006Q4,2007Q1,1555,121
21,0.9667397995672306,0.9161644749304644,0.8314276426361301,2005Q2,2007Q1,2007Q2,1642,123
22,0.9694986786855633,0.913640158023428,0.9285515452393269,2005Q3,2007Q2,2007Q3,1720,124
23,0.9693563143228001,0.902948434785667,0.8896950868272965,2005Q4,2007Q3,2007Q4,1798,106
24,0.9558964513046203,0.926430374435136,0.9370562132068627,2006Q1,2007Q4,2008Q1,1844,119
25,0.9670159712771947,0.9584276516932414,0.9000958005332608,2006Q2,2008Q1,2008Q2,1862,129
26,0.9583413629771783,0.9151957196750782,0.9348448705975015,2006Q3,2008Q2,2008Q3,1891,132
27,0.9660189340346536,0.9175257625345619,0.8913375081244821,2006Q4,2008Q3,2008Q4,1923,131
28,0.957054217056587,0.9544423402802075,0.9473655414997059,2007Q1,2008Q4,2009Q1,1965,146
29,0.9544993185461906,0.9373836279831445,0.9374158032210471,2007Q2,2009Q1,2009Q2,2015,148
30,0.9657457037036261,0.9597326718663524,0.9179899519811925,2007Q3,2009Q2,2009Q3,2066,149
31,0.9782672672351395,0.9464652267793832,0.9400890067852639,2007Q4,2009Q3,2009Q4,2116,150
32,0.9630068800905539,0.9555528019811425,0.9453723638764153,2008Q1,2009Q4,2010Q1,2205,162
33,0.9642128195476856,0.9571163930937389,0.8996413113096987,2008Q2,2010Q1,2010Q2,2291,161
34,0.9671466686274327,0.9654100496746261,0.9218884835131511,2008Q3,2010Q2,2010Q3,2355,164
35,0.9678038835423164,0.9257166099362991,0.877105452360494,2008Q4,2010Q3,2010Q4,2419,164
