,R2 train,R2 cv,R2 test,Training period start,Training period end,Testing period,N° training samples,N° testing samples
0,0.9999818454835775,0.41808374776953694,0.8187145063064616,2000Q1,2001Q4,2002Q1,64,16
1,0.9873148428447057,0.43833453685308055,0.45129802527561524,2000Q2,2002Q1,2002Q2,95,20
2,0.9990497038867833,0.616336841644771,0.920630572913973,2000Q3,2002Q2,2002Q3,135,19
3,0.9999822241228263,0.21852469748212122,0.23151739217462086,2000Q4,2002Q3,2002Q4,172,20
4,0.993043999248887,0.39687405626959005,0.6906221470495761,2001Q1,2002Q4,2003Q1,212,43
5,0.998043049560046,0.5026495422426861,0.829604689819111,2001Q2,2003Q1,2003Q2,298,51
6,0.9947478077737727,0.5900464097597979,0.9199606097786248,2001Q3,2003Q2,2003Q3,382,51
7,0.9972368501892147,0.715817929984875,0.6034450596309686,2001Q4,2003Q3,2003Q4,461,49
8,0.9984330638613617,0.6673155567956783,0.5639064049854494,2002Q1,2003Q4,2004Q1,534,56
9,0.9883384171376822,0.6755690049132683,0.7170617269994057,2002Q2,2004Q1,2004Q2,615,61
10,0.9998934824172333,0.6903595925308823,0.488801759665359,2002Q3,2004Q2,2004Q3,697,63
11,0.9999707257871087,0.6744578949110565,0.6861086413305217,2002Q4,2004Q3,2004Q4,785,58
12,0.9998389467616253,0.6414060022140166,0.7772780405274924,2003Q1,2004Q4,2005Q1,860,78
13,0.9897835232714047,0.664507708267639,0.8966648861823259,2003Q2,2005Q1,2005Q2,929,84
14,0.9992538077348739,0.6033826759666845,0.8512900430641317,2003Q3,2005Q2,2005Q3,994,85
15,0.9994781823839206,0.7174905339595067,0.8038158234275378,2003Q4,2005Q3,2005Q4,1062,83
16,0.9707303671212814,0.5997119002977176,0.7670603602381239,2004Q1,2005Q4,2006Q1,1130,110
17,0.9986475793525079,0.6373051052370673,0.8289186440397418,2004Q2,2006Q1,2006Q2,1238,114
18,0.9978001922149679,0.691315859395367,0.8071360757997255,2004Q3,2006Q2,2006Q3,1344,116
